judul_berita;portal_media;tanngal_publikasi;url;hasil_sentimen;olahan_teks
Al Haris Jadi Ketua Tim Prabowo-Gibran di Jambi, Target Kemenangan 70 Persen;Detik;15/11/2023;https://www.detik.com/sumbagsel/berita/d-7038703/al-haris-jadi-ketua-tim-prabowo-gibran-di-jambi-target-kemenangan-70-persen;netral;haris ketua tim prabowo gibran jambi target menang
Djarot soal Gibran Cawapres Prabowo: Tak Nyangka Air Susu Dibalas Air Tuba;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7039141/djarot-soal-gibran-cawapres-prabowo-tak-nyangka-air-susu-dibalas-air-tuba;netral;djarot gibran cawapres prabowo nyangka air susu balas air tuba
Rangkul Gibran, Pendukung Prabowo di Purwakarta ...;Politik;15/11/2023;https://politik.rmol.id/read/2023/11/15/597426/rangkul-gibran-pendukung-prabowo-di-purwakarta-nyebrang-ke-anies;netral;rangkul gibran dukung prabowo purwakarta
Awas! Bilang Prabowo-Gibran Tidak Sah Bisa Dipidana - Nawacita Post;Nawacita Post;15/11/2023;https://www.nawacitapost.com/nasional/2023/11/15/awas-bilang-prabowo-gibran-tidak-sah-bisa-dipidana/;negatif;awas bilang prabowo gibran pidana nawacita post
Selesaikan Persoalan Pangan, Prabowo Hadapi Tantangan Ini!;CNBC Indonesia;15/11/2023;https://www.cnbcindonesia.com/news/20231115201523-8-489412/selesaikan-persoalan-pangan-prabowo-hadapi-tantangan-ini;netral;selesai pangan prabowo tantang
Media AS Sorot Pilpres, Sebut Capres Prabowo-Anies-Ganjar Ini;CNBC Indonesia;15/11/2023;https://www.cnbcindonesia.com/news/20231115143436-4-489264/media-as-sorot-pilpres-sebut-capres-prabowo-anies-ganjar-ini;netral;media sorot pilpres capres prabowo anies ganjar
Elektabilitas Prabowo-Gibran Tetap Juara di Tengah Isu Dinasti Politik;Katadata;15/11/2023;https://katadata.co.id/berita/nasional/elektabilitas-prabowo-gibran-tetap-juara-di-tengah-isu-dinasti-politik/6554cf01d9641;netral;elektabilitas prabowo gibran juara isu dinasti politik
Gerindra Akui Sulit Menang di Jateng, Tapi... - Kompas.com;Regional - KOMPAS.com;15/11/2023;https://regional.kompas.com/read/2023/11/15/231758478/gerindra-akui-sulit-menang-di-jateng-tapi;netral;gerindra sulit menang jateng kompas com
PSI Aceh Minta MTA Jangan Seret Nama Prabowo-Gibran dalam Polemik Anggaran;Serambinews.com;15/11/2023;https://aceh.tribunnews.com/2023/11/15/psi-aceh-minta-mta-jangan-seret-nama-prabowo-gibran-dalam-polemik-anggaran;netral;psi aceh mta seret nama prabowo gibran dalam polemik anggar
Ganjar Sentil Drakor di Pilpres 2024, Adik Prabowo Singgung Dagelan;CNN Indonesia;15/11/2023;https://www.cnnindonesia.com/nasional/20231115190828-617-1024768/ganjar-sentil-drakor-di-pilpres-2024-adik-prabowo-singgung-dagelan;netral;ganjar sentil drakor pilpres adik prabowo singgung dagel
"Dekat dengan Rakyat, Bang Zaki Jadi Panglima Pemenangan Prabowo-Gibran di 
Jakarta";JPNN.com;15/11/2023;https://www.jpnn.com/news/dekat-dengan-rakyat-bang-zaki-jadi-panglima-pemenangan-prabowo-gibran-di-jakarta;netral;rakyat bang zaki panglima menang prabowo gibran jakarta
TKN Yakin Rebut Suara Penuh di Cirebon Raya: Kantong Suara Jokowi;Detik;15/11/2023;https://www.detik.com/jabar/berita/d-7039094/tkn-yakin-rebut-suara-penuh-di-cirebon-raya-kantong-suara-jokowi;netral;tkn rebut suara penuh cirebon kantong suara jokowi
CEK FAKTA: Hoaks KPU Batalkan Gibran Jadi Cawapres ...;Merdeka.com;15/11/2023;https://www.merdeka.com/cek-fakta/cek-fakta-hoaks-kpu-batalkan-gibran-jadi-cawapres-prabowo-48880-mvk.html;negatif;cek fakta hoaks kpu batal gibran cawapres
"Gabungan Kekayaan Capres-cawapres Anies-Muhaimin, Prabowo-Gibran dan 
Ganjar-Mahfud";Suara.com;15/11/2023;https://www.suara.com/bisnis/2023/11/15/151257/gabungan-kekayaan-capres-cawapres-anies-muhaimin-prabowo-gibran-dan-ganjar-mahfud;netral;gabung kaya capres cawapres anies muhaimin prabowo gibran ganjar mahfud
Kabaharkam Tak Temukan Fakta Polisi Pasang Baliho ...;Tirto.ID;15/11/2023;https://tirto.id/kabaharkam-tak-temukan-fakta-polisi-pasang-baliho-prabowo-gibran-gShv;netral;kabaharkam fakta polisi pasang baliho
"Proritaskan Lapangan Kerja untuk WNI, Prabowo Berencana Perketat WNA di 
Indonesia";Liputan6.com;15/11/2023;https://www.liputan6.com/regional/read/5454295/proritaskan-lapangan-kerja-untuk-wni-prabowo-berencana-perketat-wna-di-indonesia;netral;proritaskan lapang wni prabowo rencana ketat wna indonesia
Pilpres 2024: PDIP Move On Dari Jokowi Sejak Prabowo-Gibran Dideklarasikan;Tribun Mataraman;15/11/2023;https://mataraman.tribunnews.com/2023/11/15/pilpres-2024-pdip-move-on-dari-jokowi-sejak-prabowo-gibran-dideklarasikan;netral;pilpres pdip move jokowi prabowo gibran deklarasi
"Sayap Partai Pendukung Prabowo Gibran Dari Kalangan Pemuda Siap Sasar Kaum 
Milenial di Jabar";Metro Jabar;15/11/2023;https://metrojabar.pikiran-rakyat.com/politik/pr-3397363700/sayap-partai-pendukung-prabowo-gibran-dari-kalangan-pemuda-siap-sasar-kaum-milenial-di-jabar;netral;sayap partai dukung prabowo gibran kalang pemuda sasar kaum milenial jabar
"Nomor Urut Dua Prabowo Gibran, DPC Partai Gerindra Cianjur: Dua itu 
Kemenangan dan Kedamaian - Radar Cianjur";Radar Cianjur;15/11/2023;https://www.radarcianjur.com/cianjur-raya/94510876949/nomor-urut-dua-prabowo-gibran-dpc-partai-gerindra-cianjur-dua-itu-kemenangan-dan-kedamaian;netral;nomor prabowo gibran dpc partai gerindra cianjur menang damai radar cianjur
"Cerita Hashim soal Kagetnya Jokowi Saat Prabowo Laporkan Kasus Dugaan 
Korupsi di Kemenhan - Kompas.com";KOMPAS.com;15/11/2023;https://nasional.kompas.com/read/2023/11/15/17362231/cerita-hashim-soal-kagetnya-jokowi-saat-prabowo-laporkan-kasus-dugaan;netral;cerita hashim kaget jokowi prabowo lapor kasus duga korupsi kemenhan kompas com
Pendukung Prabowo-Gibran Gelar Doa Bersama, Relawan ...;Bali Tribune;15/11/2023;https://balitribune.co.id/content/pendukung-prabowo-gibran-gelar-doa-bersama-relawan-sedulur-kaesang-jokowi-ikut-turun;netral;dukung prabowo gibran gelar doa rawan
Hashim Bicara Potensi Perang Saudara Jika Prabowo Tak Gabung Jokowi di 2019;detikNews;15/11/2023;https://news.detik.com/pemilu/d-7038940/hashim-bicara-potensi-perang-saudara-jika-prabowo-tak-gabung-jokowi-di-2019;negatif;hashim bicara potensi perang saudara prabowo gabung jokowi
"Masuk TKN Prabowo-Gibran, Anggawira Lepas Jabatan Presiden Komisaris Anak 
Usaha Krakatau Steel";Tribunnews.com;15/11/2023;https://www.tribunnews.com/mata-lokal-memilih/2023/11/15/masuk-tkn-prabowo-gibran-anggawira-lepas-jabatan-presiden-komisaris-anak-usaha-krakatau-steel;netral;tkn prabowo gibran anggawira lepas jabat presiden komisaris usaha krakatau steel
Deretan Tokoh NU di Timses Anies, Prabowo Hingga Ganjar;CNN Indonesia;15/11/2023;https://www.cnnindonesia.com/nasional/20231115152414-617-1024639/deretan-tokoh-nu-di-timses-anies-prabowo-hingga-ganjar;netral;deret tokoh timses anies prabowo ganjar
"Pertarungan Gibran dan Ganjar di Jawa Tengah Bakal Sengit, Jokowi Efek Bisa 
Goyang Dominasi Banteng";Warta Kota;15/11/2023;https://wartakota.tribunnews.com/2023/11/15/pertarungan-gibran-dan-ganjar-di-jawa-tengah-bakal-sengit-jokowi-efek-bisa-goyang-dominasi-banteng;netral;tarung gibran ganjar sengit jokowi efek goyang dominasi banteng
"Adik Prabowo Muak Lihat Jokowi Terus Dikritik: Yang Nyerang Dinasti Politik 
Pertama di Indonesia";Tribunnews.com;15/11/2023;https://www.tribunnews.com/mata-lokal-memilih/2023/11/15/adik-prabowo-muak-lihat-jokowi-terus-dikritik-yang-nyerang-dinasti-politik-pertama-di-indonesia;negatif;adik prabowo muak jokowi kritik serang dinasti politik indonesia
Markas Rusak Berat, Veteran Solo Sambat ke Gibran Minta Bantu Perbaiki;detikcom;15/11/2023;https://www.detik.com/jateng/berita/d-7038595/markas-rusak-berat-veteran-solo-sambat-ke-gibran-minta-bantu-perbaiki;netral;markas rusak veteran solo sambat gibran
Menhan Prabowo: Upaya Gencatan Senjata Harus Terus Dilakukan - Jawa Pos;JawaPos.com;15/11/2023;https://www.jawapos.com/internasional/013289685/menhan-prabowo-upaya-gencatan-senjata-harus-terus-dilakukan;netral;menhan prabowo gencat senjata pos
Puluhan Ribu Orang Melakukan Demonstrasi untuk Israel di ...;RILIS ID;15/11/2023;https://rilis.id/Breaking%20News/Berita/Puluhan-Ribu-Orang-Melakukan-Demonstrasi-untuk-Israel-di-Washington-DC-1AHwWoT;netral;puluh demonstrasi israel
Ditabrak yang Terakhir Kali, Dahan Pohon di Kramatjati ...;Megapolitan - KOMPAS.com;15/11/2023;https://megapolitan.kompas.com/read/2023/11/15/07120291/ditabrak-yang-terakhir-kali-dahan-pohon-di-kramatjati-akhirnya-patah-dan?page=all;netral;tabrak dahan pohon kramatjati
Aliran Dana Asing Berpotensi Banjiri Saham ARTO Berkat Indeks MSCI;Market Bisnis;15/11/2023;https://market.bisnis.com/read/20231115/7/1714683/aliran-dana-asing-berpotensi-banjiri-saham-arto-berkat-indeks-msci;netral;alir dana potensi banjir saham arto indeks msci
"Dipanggil Jadi Saksi Korupsi Kementan, KPK Cecar Ketua Komisi IV DPR Soal 
Anggaran";Kabar24;15/11/2023;https://kabar24.bisnis.com/read/20231115/16/1714771/dipanggil-jadi-saksi-korupsi-kementan-kpk-cecar-ketua-komisi-iv-dpr-soal-anggaran;netral;panggil saksi korupsi kementan kpk cecar ketua komisi iv dpr anggar
Memilih Tanpa Status, Mengapa Anak Muda Saat Ini Lebih ...;RILIS ID;15/11/2023;https://rilis.id/Lifestyle/Berita/Memilih-Tanpa-Status-Mengapa-Anak-Muda-Saat-Ini-Lebih-Menyukai-HTS-Ni0e0Yr;negatif;pilih status muda
Taktik Xi Jinping Bobol Blokir Joe Biden, Jenius!;CNBC Indonesia;15/11/2023;https://www.cnbcindonesia.com/tech/20231115160701-37-489307/taktik-xi-jinping-bobol-blokir-joe-biden-jenius;negatif;taktik xi jinping bobol blokir joe biden jenius
Polda Metro Jaya Buka Suara Terkait Video Viral Anggota ...;RILIS ID;15/11/2023;https://rilis.id/Peristiwa/Berita/Polda-Metro-Jaya-Buka-Suara-Terkait-Video-Viral-Anggota-Brimob-di-Rumah-Relawan-Ganjar-Fosoj68;netral;polda metro jaya suara kait video viral anggota
Berharta Rp9,2 Miliar, Intip Gaji dan Tunjangan Pius Lustrilanang di BPK;Bisnis Tempo;15/11/2023;https://bisnis.tempo.co/read/1796857/berharta-rp92-miliar-intip-gaji-dan-tunjangan-pius-lustrilanang-di-bpk;netral;harta rp miliar intip gaji tunjang pius lustrilanang
Koalisasi Kebijakan Sehat Sleman Dorong Perda KTR Segera ...;Jogjapolitan;15/11/2023;https://jogjapolitan.harianjogja.com/read/2023/11/15/513/1155111/koalisasi-kebijakan-sehat-sleman-dorong-perda-ktr-segera-disahkan;netral;koalisasi bijak sehat sleman dorong atur daerah kantor
Jubir TKN Puji Sikap Santun dan Santuy Prabowo-Gibran Saat Pengundian di KPU;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7040941/jubir-tkn-puji-sikap-santun-dan-santuy-prabowo-gibran-saat-pengundian-di-kpu;netral;juru bicara tkn puji sikap santun santuy prabowo gibran undi kpu
TKN Sebut Sikap Prabowo-Gibran yang Santun Bisa Jadi Teladan Generasi Muda;JPNN.com;16/11/2023;https://www.jpnn.com/news/tkn-sebut-sikap-prabowo-gibranyang-santun-bisa-jadi-teladan-generasi-muda;netral;tkn sikap prabowo gibran santun teladan generasi muda
TKN Prabowo Gibran: Anak Muda Suka dengan Sikap Santuy dan Santun - Jawa Pos;JawaPos.com;16/11/2023;https://www.jawapos.com/politik/013293810/tkn-prabowo-gibran-anak-muda-suka-dengan-sikap-santuy-dan-santun;netral;tkn prabowo gibran muda suka sikap santuy santun pos
Bos PPI Nilai Keunggulan Prabowo-Gibran di Survei Tak Signifikan;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7039467/bos-ppi-nilai-keunggulan-prabowo-gibran-di-survei-tak-signifikan;negatif;bos ppi nilai unggul prabowo gibran survei signifikan
"Meski Didukung Presiden Jokowi, Prabowo-Gibran Belum Tentu Menangi Pilpres 
2024";SINDOnews;16/11/2023;https://nasional.sindonews.com/read/1253365/12/meski-didukung-presiden-jokowi-prabowo-gibran-belum-tentu-menangi-pilpres-2024-1700151071;netral;dukung presiden jokowi prabowo gibran menang pilpres
"Unggul di Banyak Survei, Prabowo-Gibran Makin Solid Didukung Pemilih Jokowi 
- Radar Surabaya";Radar Surabaya;16/11/2023;https://radarsurabaya.jawapos.com/nasional/773295707/unggul-di-banyak-survei-prabowo-gibran-makin-solid-didukung-pemilih-jokowi;netral;unggul survei prabowo gibran solid dukung pilih jokowi radar surabaya
Survei JSPP dan Ragaplasma: Elektablitas Prabowo-Gibran Juara di Jabar;detikcom;16/11/2023;https://www.detik.com/jabar/berita/d-7040343/survei-jspp-dan-ragaplasma-elektablitas-prabowo-gibran-juara-di-jabar;netral;survei jspp ragaplasma elektablitas prabowo gibran juara jabar
Golkar Surabaya sosialisasikan nomor urut 2 Prabowo-Gibran;Antaranews.com;16/11/2023;https://www.antaranews.com/berita/3826836/golkar-surabaya-sosialisasikan-nomor-urut-2-prabowo-gibran;netral;golkar surabaya sosialisasi nomor prabowo gibran
Ratusan seniman Bantengan Jatim deklarasi dukung Prabowo-Gibran;ANTARA News;16/11/2023;https://www.antaranews.com/berita/3826572/ratusan-seniman-bantengan-jatim-deklarasi-dukung-prabowo-gibran;netral;ratus seniman banteng jatim deklarasi dukung prabowo gibran
Hasil Survei Teratas, TKN Prabowo-Gibran Optimistis Menang ...;Kompas.id;16/11/2023;https://www.kompas.id/baca/video/2023/11/15/hasil-survei-teratas-tkn-prabowo-gibran-optimistis-menang-satu-putaran;netral;hasil survei tkn prabowo gibran optimistis menang
"Dituding Curang Libatkan Aparat, TKN Prabowo-Gibran: Fitnah Merusak Cara 
Berbangsa dan Bernegara";Nasional;16/11/2023;https://nasional.tempo.co/read/1797354/dituding-curang-libatkan-aparat-tkn-prabowo-gibran-fitnah-merusak-cara-berbangsa-dan-bernegara;negatif;tuding curang libat aparat tkn prabowo gibran fitnah rusak bangsa negara
Gerindra Sebut 70 Persen Spanduk Prabowo-Gibran di Babel Juga Dirusak OTK;detikcom;16/11/2023;https://www.detik.com/sumbagsel/berita/d-7040661/gerindra-sebut-70-persen-spanduk-prabowo-gibran-di-babel-juga-dirusak-otk;netral;gerindra spanduk prabowo gibran babel rusak otk
Nomor Urut 2 Prabowo-Gibran, PAN Siap Antarkan ...;Politik;16/11/2023;https://politik.rmol.id/read/2023/11/16/597579/nomor-urut-2-prabowo-gibran-pan-siap-antarkan-kemenangan-di-bumi-cenderawasih;netral;nomor prabowo gibran
"Indo Barometer Klaim Prabowo-Gibran Berpeluang Menang Satu Putaran, NasDem: 
Jangan-Jangan Sampelnya Itu-Itu Saja";Nasional;16/11/2023;https://nasional.tempo.co/read/1797476/indo-barometer-klaim-prabowo-gibran-berpeluang-menang-satu-putaran-nasdem-jangan-jangan-sampelnya-itu-itu-saja;netral;indo barometer klaim prabowo gibran peluang menang putar nasdem sampel
Tim Hukum Aceh Prabowo-Gibran akan Laporkan MTA ke Polda;Serambinews.com;16/11/2023;https://aceh.tribunnews.com/2023/11/16/tim-hukum-aceh-prabowo-gibran-akan-laporkan-mta-ke-polda;netral;tim hukum aceh prabowo gibran lapor mta polda
Gubernur Al Haris ketua tim pemenangan Prabowo-Gibran di Jambi;ANTARA News Jambi;16/11/2023;https://jambi.antaranews.com/berita/562308/gubernur-al-haris-ketua-tim-pemenangan-prabowo-gibran-di-jambi;netral;gubernur haris ketua tim menang prabowo gibran jambi
Ganjar Singgung Politik Drakor, Ini Ragam Tanggapan Kubu Prabowo-Gibran;Nasional;16/11/2023;https://nasional.tempo.co/read/1797460/ganjar-singgung-politik-drakor-ini-ragam-tanggapan-kubu-prabowo-gibran;netral;ganjar singgung politik drakor ragam tanggap kubu prabowo gibran
Anies-Imin Tos dengan Prabowo-Gibran, Sudirman Said: Hubungannya Baik;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7040526/anies-imin-tos-dengan-prabowo-gibran-sudirman-said-hubungannya-baik;netral;anies tos prabowo gibran sudirman said
Dampingi Prabowo di Pilpres, Harta Gibran Capai Rp25,5 M;CNBC Indonesia;16/11/2023;https://www.cnbcindonesia.com/market/20231116193303-17-489684/dampingi-prabowo-di-pilpres-harta-gibran-capai-rp255-m;netral;damping prabowo pilpres harta gibran capai rp
Kementerian Komunikasi dan Informatika;Kementerian Komunikasi dan Informatika;16/11/2023;https://www.kominfo.go.id/content/detail/52964/hoaks-menhan-prabowo-subianto-jadikan-gibran-rakabuming-raka-sebagai-tumbal-untuk-rusak-reputasi-presiden-jokowi/0/laporan_isu_hoaks;netral;menteri komunikasi informatika
"Airin Rachmi Diany Jadi Ketua Tim Kampanye Prabowo-Gibran di Banten - 
Kompas.com";Regional - KOMPAS.com;16/11/2023;https://regional.kompas.com/read/2023/11/16/232946478/airin-rachmi-diany-jadi-ketua-tim-kampanye-prabowo-gibran-di-banten;netral;airin rachmi diany ketua tim kampanye prabowo gibran banten kompas com
KPU Atur Kampanye di Media, TKN Prabowo-Gibran Janji Bakal Patuh;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7041265/kpu-atur-kampanye-di-media-tkn-prabowo-gibran-janji-bakal-patuh;netral;kpu atur kampanye media tkn prabowo gibran janji patuh
"Sinyal Kuat Gabung TKN, Kehadiran Khofifah Kuatkan Kemenangan 
Prabowo-Gibran di Jatim - Radar Kediri";Radar Kediri;16/11/2023;https://radarkediri.jawapos.com/politika/783293207/sinyal-kuat-gabung-tkn-kehadiran-khofifah-kuatkan-kemenangan-prabowo-gibran-di-jatim;netral;sinyal kuat gabung tkn hadir khofifah kuat menang prabowo gibran jatim radar
"Prabowo-Gibran Dapat Nomor Urut 2, Gerindra Jatim: Kemenangan Tebal Semakin 
Nyata!";Tribun Jatim;16/11/2023;https://jatim.tribunnews.com/2023/11/16/prabowo-gibran-dapat-nomor-urut-2-gerindra-jatim-kemenangan-tebal-semakin-nyata;netral;prabowo gibran nomor gerindra jatim menang tebal
Relawan Desa di Sumut siap menangkan Prabowo-Gibran;Elshinta.Com;16/11/2023;https://elshinta.com/news/319865/2023/11/16/relawan-desa-di-sumut-siap-menangkan-prabowogibran;netral;rawan desa sumut menang prabowo gibran
"Masinton Sebut Prabowo-Gibran dan Anies-Muhaimin Miliki Keinginan Wujudkan 
Demokrasi Ala RT/RW";tvOneNews.com;16/11/2023;https://www.tvonenews.com/berita/nasional/167322-masinton-sebut-prabowo-gibran-dan-anies-muhaimin-miliki-keinginan-wujudkan-demokrasi-ala-rtrw;netral;masinton prabowo gibran anies muhaimin wujud demokrasi rw
Cak Imin Tak Masalah Habib Luthfi Dukung Prabowo-Gibran: PKB Kekuatan Utama;detikNews;16/11/2023;https://news.detik.com/pemilu/d-7040488/cak-imin-tak-masalah-habib-luthfi-dukung-prabowo-gibran-pkb-kekuatan-utama;netral;cak habib luthfi dukung prabowo gibran pkb kuat
Inilah Tokoh NU di Barisan Pendukung Prabowo-Gibran - harian.disway.id;Harian Disway;16/11/2023;https://harian.disway.id/read/743117/inilah-tokoh-nu-di-barisan-pendukung-prabowo-gibran;netral;tokoh baris dukung prabowo gibran disway
"Viral Video ASN Boyolali Diminta Menangkan Ganjar, Ini Tanggapan PDIP, 
Bupati, Pj Gubernur, dan TKN Prabowo-Gibran";Nasional;16/11/2023;https://nasional.tempo.co/read/1797450/viral-video-asn-boyolali-diminta-menangkan-ganjar-ini-tanggapan-pdip-bupati-pj-gubernur-dan-tkn-prabowo-gibran;netral;viral video boyolali menang ganjar tanggap pdip bupati pj gubernur tkn prabowo gibran
Warga Gugat Putusan KPU Terkait Paslon Prabowo-Gibran;KOMPAS.tv;16/11/2023;https://www.kompas.tv/regional/461404/warga-gugat-putusan-kpu-terkait-paslon-prabowo-gibran;netral;gugat putus kpu kait paslon prabowo gibran
Kementerian Komunikasi dan Informatika;Kementerian Komunikasi dan Informatika;16/11/2023;https://www.kominfo.go.id/content/detail/52963/hoaks-video-prabowo-ngamuk-mahfud-bawa-bukti-500-m-hasil-suap-mk-untuk-lengserkan-gibran/0/laporan_isu_hoaks;netral;menteri komunikasi informatika
Arti Finger Heart yang Diberikan Gibran Saat Dapat Nomor Urut Pilpres 2024;Detik;16/11/2023;https://www.detik.com/bali/berita/d-7040351/arti-finger-heart-yang-diberikan-gibran-saat-dapat-nomor-urut-pilpres-2024;netral;finger heart gibran nomor pilpres
"Prabowo Gibran Bertekad Bentuk Badan Penerimaan Negara, Tingkatkan Rasio, 
Bayar Pajak Bisa Lebih Murah - harian.disway.id";Harian Disway;16/11/2023;https://harian.disway.id/read/743079/prabowo-gibran-bertekad-bentuk-badan-penerimaan-negara-tingkatkan-rasio-bayar-pajak-bisa-lebih-murah;netral;prabowo gibran tekad bentuk badan terima negara rasio bayar pajak murah disway
"Siapkan 45 Ribu Relawan, Demokrat Jamin Prabowo-Gibran Menang di Halmahera 
Barat";tandaseru.com;16/11/2023;https://www.tandaseru.com/2023/11/16/siapkan-45-ribu-relawan-demokrat-jamin-prabowo-gibran-menang-di-halmahera-barat/;netral;rawan demokrat jamin prabowo gibran menang halmahera
"Soal Uang Rp 20.000 Berstempel Prabowo Satria Piningit, TKN: Laporkan Saja 
ke Bawaslu - Kompas.com";KOMPAS.com;16/11/2023;https://nasional.kompas.com/read/2023/11/16/23122401/soal-uang-rp-20000-berstempel-prabowo-satria-piningit-tkn-laporkan-saja-ke;netral;rp stempel prabowo satria pingit tkn lapor bawaslu kompas com
"Andre Rosiade Sebut Prabowo-Gibran Banyak Mendapat 'Framing' Lakukan 
Kecurangan!";KOMPAS.tv;16/11/2023;https://www.kompas.tv/video/461610/andre-rosiade-sebut-prabowo-gibran-banyak-mendapat-framing-lakukan-kecurangan;negatif;andre rosiade prabowo gibran framing curang
"'Enggak Usah Diberitakan', Gibran Akui Sudah Lama Terima Surat dari PDI 
Perjuangan";Tribun Jabar;16/11/2023;https://jabar.tribunnews.com/2023/11/16/enggak-usah-diberitakan-gibran-akui-sudah-lama-terima-surat-dari-pdi-perjuangan;netral;berita gibran terima surat pdi juang
Jenderal Polisi Tantang Aiman Buktikan Ada Komandan ...;Merdeka.com;16/11/2023;https://www.merdeka.com/peristiwa/jenderal-polisi-tantang-aiman-buktikan-ada-komandan-perintah-anggota-pilih-prabowo-gibran-49518-mvk.html;negatif;jenderal polisi tantang bukti komandan
"89 Hari Menuju Pilpres 2024 - Survei di Sulawesi: Prabowo-Gibran Naik, 
Ganjar-Mahfud atau AMIN Turun";Tribun Manado;16/11/2023;https://manado.tribunnews.com/2023/11/16/89-hari-menuju-pilpres-2024-survei-di-sulawesi-prabowo-gibran-naik-ganjar-mahfud-atau-amin-turun;netral;pilpres survei sulawesi prabowo gibran ganjar mahfud amin turun
"Jawa Tengah Kandang Banteng, Kubu Prabowo-Gibran Akui Sulit Menang hingga 
Siapkan Strategi Khusus";Tribun Wow;16/11/2023;https://wow.tribunnews.com/2023/11/16/jawa-tengah-kandang-banteng-kubu-prabowo-gibran-akui-sulit-menang-hingga-siapkan-strategi-khusus;netral;kandang banteng kubu prabowo gibran sulit menang strategi
