judul_berita;media;tanggal_publikasi;hasil_sentimen
"Prabowo-Gibran Dicurigai Curang, TKN: Kami Dirugikan, padahal Elektabilitas 
Lagi Tinggi - Kompas.com";KOMPAS.com;2 minggu lalu;negative
"[POPULER NASIONAL] Hasto Sindir TKN Prabowo-Gibran | Gibran Hanya Ingin 
Debat Versi KPU - Kompas.com";KOMPAS.com;5 hari lalu;neutral
TKN: Framing Prabowo-Gibran Hindari Debat Tak Benar dan Sesat;detikNews;6 hari lalu;neutral
Relawan ABJ Yakin Prabowo-Gibran Menang 50% Suara di Jateng dan DIY;detikNews;2 minggu lalu;neutral
Efek Jokowi, Elektabilitas Prabowo-Gibran di Jawa Tengah ...;Merdeka.com;4 hari lalu;neutral
Muzani: Insya Allah Prabowo-Gibran Menang Satu Putaran - Kompas.com;KOMPAS.com;1 minggu lalu;neutral
Relawan JARGON Deklarasi Dukung Prabowo-Gibran di Pilpres 2024;detikNews;2 minggu lalu;neutral
Peduli Palestina, Alasan Kader dan Simpatisan PKS Jabar ...;Politik;6 hari lalu;neutral
Survei ASI: Prabowo-Gibran 34,2%, Ganjar-Mahfud 30,7 ...;20detik;1 hari lalu;neutral
TKN Fanta Prabowo-Gibran Gelar Diskusi dan Doa Bersama untuk Palestina;detikNews;4 hari lalu;neutral
KSPN Deklarasi Dukung Prabowo-Gibran di Pilpres 2024;detikNews;2 minggu lalu;neutral
"Jubir TKN Prabowo-Gibran: Narasi ""Gemoy"" ""Catchy"" untuk Bikin Milenial dan 
Gen Z Melirik - Kompas.com";KOMPAS.com;2 minggu lalu;neutral
Kaesang: Kalau Lihat Survei, Prabowo-Gibran Sudah Menang;detikNews;2 minggu lalu;neutral
"Sosialisasikan Program-program Prabowo-Gibran, TKN Fanta Gelar Pemeriksaan 
Kesehatan Gratis - Kompas.com";KOMPAS.com;6 hari lalu;neutral
TKN Buka Suara soal Prabowo-Gibran Dituding Takut Debat;CNN Indonesia;2 minggu lalu;neutral
"Relawan Akan Kenalkan Prabowo-Gibran hingga Pelosok Saat Kampanye - 
Kompas.com";KOMPAS.com;3 minggu lalu;neutral
Rahasiakan Hasil Survei, Airlangga Klaim Elektabilitas ...;Kompas.id;1 minggu lalu;neutral
Gambaran IKN di Tangan Prabowo-Gibran, Tak Ada Motor & Ruko;CNBC Indonesia;3 minggu lalu;neutral
Jika Ketegangan Mega-Jokowi Bukan Rekayasa, Prabowo ...;Politik;2 minggu lalu;neutral
Jalan Sehat Prabowo-Gibran Makassar, Panitia Klaim 1,2 Juta Kupon Terbagikan;Detik;2 minggu lalu;neutral
Dukungan Perangkat Desa ke Prabowo-Gibran Dinilai Tidak ...;Kompas.id;3 minggu lalu;neutral
"Begini Tanggapan TKN Prabowo-Gibran soal Anies Sebut IKN Hanya Untungkan 
Aparatur Negara";Nasional tempo;3 hari lalu;neutral
SBY Turun Gunung, Perintahkan Kader Demokrat Menangkan ...;KOMPAS.com;2 minggu lalu;neutral
TPN Ganjar-Mahfud Sindir Prabowo-Gibran: Dua Minggu ...;Politik;3 hari lalu;neutral
"Ketua TKD Sebut Prabowo-Gibran Punya Peluang Menang di DKI jika Berkaca 
pada 2019 - Kompas.com";KOMPAS.com;6 hari lalu;neutral
Foto di Surat Suara, Prabowo-Gibran Kompak Berkemeja Biru Muda;CNN Indonesia;2 minggu lalu;neutral
PAN Jawab Sandiaga: Prabowo-Gibran Model Digital Leadership 4.0 Jokowi;detikNews;4 hari lalu;neutral
"Pengamat Politik Singgung Pengaruh Blunder Ade Armando pada Perolehan Suara 
Prabowo-Gibran";Pemilu;1 minggu lalu;neutral
Geger Kepala Desa Dukung Prabowo-Gibran;detikNews;2 minggu lalu;neutral
Polres Pringsewu Amankan Kampanye Relawan Prabowo ...;Humas Polri;3 hari lalu;neutral
"Soal Tudingan Pengerahan Aparat, TKN Prabowo-Gibran Bilang Siapa pun Boleh 
Mengatakan Apa pun";Nasional tempo;4 hari lalu;negative
Komunitas Indonesia Tionghoa: Prabowo-Gibran Penerus ...;Politik;3 minggu lalu;neutral
Ridwan Kamil Buka Suara Soal Prabowo-Gibran, Bilang Ini;CNBC Indonesia;3 minggu lalu;neutral
Gugatan PMH Prabowo-Gibran Gugur, Nusron Wahid: Insyaallah Kita Benar;detikNews;2 minggu lalu;neutral
Prabowo-Gibran janjikan rumah murah untuk milenial;Antaranews.com;1 minggu lalu;neutral
Sosok Ini Dikabarkan Jadi Ketua TKD Prabowo-Gibran di Jatim;Detik;3 minggu lalu;neutral
HNW Sentil Jubir TKN Prabowo-Gibran soal Perlindungan Kaum Non-Biner;detikNews;1 minggu lalu;neutral
Kornas Kader PeTiGa deklarasi dukung pasangan Prabowo-Gibran;Antaranews.com;2 minggu lalu;neutral
Wagub Kepri Marlin Agustina Jadi Penasehat TKD Prabowo Gibran;Detik;1 minggu lalu;neutral
TKN Prabowo-Gibran Buka Pintu untuk Eks KSAD Dudung Abdurachman;detikNews;2 hari lalu;neutral
RK: TKD Prabowo-Gibran Komitmen Dukung Netralitas ASN TNI/Polri;CNN Indonesia;6 hari lalu;neutral
Prabowo-Gibran Akan Hadir Deklarasi Dukungan Pandawa Lima, Luhut Hadir?;detikNews;2 minggu lalu;neutral
"Prabowo-Gibran Bertekad Gencarkan Hilirisasi Digital Demi Dukung Anak Muda 
Indonesia";Warta Kota;2 hari lalu;neutral
Tak Masuk TPN Prabowo-Gibran, Ini Penjelasan Arie Budi!;CNBC Indonesia;3 minggu lalu;negative
"Cakra Data: Prabowo-Gibran Terpopuler di Jagat Maya, tapi Sentimen Negatif 
Tertinggi - Kompas.com";KOMPAS.com;2 minggu lalu;neutral
Kampanye Hari ke-6: Ini Jadwal AMIN, Prabowo-Gibran dan Ganjar-Mahfud;detikNews;1 minggu lalu;neutral
Gandeng Dewa 19, Prabu Bidik Suara Prabowo-Gibran di Lampung;Detik;1 minggu lalu;neutral
"TKN: 60 Bu Nyai dan Majelis Taklim Jateng Dukung Prabowo-Gibran Menang Satu 
Putaran - Kompas.com";KOMPAS.com;1 minggu lalu;neutral
Eks Jubir Bobby Jadi Jubir TKD Prabowo-Gibran di Sumut;Detik;2 minggu lalu;neutral
"Otto Hasibuan Gabung TKN Prabowo-Gibran, Langsung Jadi Wakil Ketua - 
Kompas.com";KOMPAS.com;2 minggu lalu;neutral
Purnawirawan Jenderal Polisi Andi Damisnur Pimpin TKD Prabowo-Gibran Sulsel;detikcom;3 minggu lalu;neutral
Nonton Debat Capres 2024, Kirana Larasati Pakai Bando Gambar Prabowo-Gibran;Viva;20 jam lalu;neutral
SBY Tegaskan FKLPDK Tak Wakili Partai: Kami Solid Dukung Prabowo-Gibran;detikNews;2 minggu lalu;neutral
"Prabowo-Gibran Janji Bangun 150.000 Rumah di Desa, Cicilannya Ditanggung 
APBN - kumparan.com";kumparan;3 hari lalu;neutral
Simpatisan PDIP Jateng Deklarasi Dukung Prabowo-Gibran ...;Politik;1 minggu lalu;neutral
Viral Video Anak-anak Kampanye Prabowo-Gibran di Pamekasan - Kompas.com;Berita Surabaya Terbaru Hari Ini - Kompas.com;4 hari lalu;neutral
Rapat Perdana, TKD Sumbar Minta Seluruh Caleg Pasang Foto Prabowo-Gibran;Detik;3 minggu lalu;neutral
TKN Prabowo-Gibran Serahkan Bantuan Rp 5 Miliar untuk Palestina;detikNews;2 minggu lalu;neutral
"Pengamat Bilang Prabowo-Gibran Paling Mungkin Didukung Pemilih Jokowi 
Non-PDIP di Jateng";Nasional tempo;3 minggu lalu;negative
Prabowo-Gibran pilih layani publik di hari pertama kampanye ...;Antaranews.com;2 minggu lalu;neutral
Usai Bertemu Ganjar, Relawan Benteng Jokowi Beralih ...;RMOL;3 minggu lalu;neutral
"Prabowo - Gibran Bakal Lanjutkan Kebijakan Hilirisasi Jokowi, tapi Belum 
Tentu Larang Ekspor";Bisnis Tempo;1 minggu lalu;neutral
"Soal Rencana Pengalihan Anggaran Bansos, TKN Prabowo-Gibran: Itu Tidak 
Benar - Kompas.com";KOMPAS.com;1 minggu lalu;neutral
Bahlil Bentuk Relawan Prabowo-Gibran, Arahan Istana?;CNBC Indonesia;2 minggu lalu;negative
